household_id,scenario,country,market,marital_status,residence_state,move_in_date,num_adults,num_dependants,youngest_child_dob,oldest_child_dob,annual_household_gross_income,monthly_expenses_total,expense_to_income_ratio,annual_alimony_paid,has_mortgage_or_loan,loan_outstanding_total,monthly_debt_cost_total,monthly_mortgage_payment_total,monthly_non_mortgage_payment_total,mortgage_payment_to_income_ratio,property_value_total,investable_assets_total,retirement_assets_total,cash_and_cashlike_total,alternatives_total,net_worth_proxy,risk_tolerance,investment_objectives,tax_bracket_band,client_segment
HH000539,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,CA,2020-11-03,2,2,2024-04-29,2022-01-20,163208.0,12920.63,0.95,0.0,True,202769.96,5199.86,5199.86,0.0,0.3823,263389.46,519122.35,160738.85,45298.51,68118.17,601343.53,aggressive,capital_preservation|income|tax_optimization,35%,affluent_ria_like
HH000540,young_dual_income_low_assets,US,US_RIA,married_or_civil_partner,Other,2025-09-17,2,0,,,163208.0,7332.29,0.5391,0.0,True,59359.82,3027.08,3027.08,0.0,0.2226,75436.13,315653.64,81548.12,30427.17,0.0,343966.18,conservative,income|retirement|wealth_growth,32%,affluent_ria_like
HH000541,young_dual_income_low_assets,US,US_RIA,married_or_civil_partner,Other,2020-10-05,2,0,,,169195.52,8083.13,0.5733,0.0,True,246349.17,2083.93,2083.93,0.0,0.1478,409309.83,417701.47,84011.65,61917.09,0.0,582703.3,aggressive,capital_preservation|income|wealth_growth,37%,affluent_ria_like
HH000542,self_employed_business_owner,US,US_RIA,married_or_civil_partner,Other,2015-04-05,2,3,2023-11-09,2018-03-01,249167.29,15935.93,0.7675,0.0,True,75259.38,4242.18,4242.18,0.0,0.2043,481651.48,1087445.44,168465.94,83065.81,68383.06,1503762.65,moderate,estate_planning|wealth_growth,32%,affluent_ria_like
HH000543,secondly_wedded_paying_alimony,US,US_RIA,secondly_wedded,CA,2022-02-24,2,3,2015-11-27,2006-12-24,165526.33,7577.6,0.5493,38245.09,True,158442.42,2516.23,2516.23,0.0,0.1824,365052.44,652349.2,198069.08,58060.37,69746.27,874028.05,conservative,capital_preservation|tax_optimization|wealth_growth,32%,affluent_ria_like
HH000544,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,Other,2015-05-26,2,3,2024-11-07,2017-10-18,163208.0,12745.59,0.9371,0.0,True,402982.63,5225.8,4947.69,278.11,0.3638,790750.9,822280.3,144359.64,105198.15,34757.16,1263014.17,moderate,capital_preservation|income|tax_optimization,37%,affluent_ria_like
HH000545,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,Other,2010-02-05,2,3,2025-02-20,2020-04-16,203116.27,16079.35,0.95,0.0,True,192551.2,5208.52,4885.01,323.51,0.2886,247034.7,887570.35,287636.57,128381.9,134649.64,979200.19,moderate,retirement,37%,affluent_ria_like
HH000546,financially_stressed_with_debt,US,US_RIA,married_or_civil_partner,PA,2009-07-23,2,2,2012-09-28,2010-03-20,192609.96,15248.29,0.95,0.0,True,35369.36,8924.95,8477.62,447.33,0.5282,43091.68,172512.81,31088.15,23495.42,28756.76,187944.69,growth,education|tax_optimization,32%,affluent_ria_like
HH000547,pre_retirement_wealthy,US,US_RIA,married_or_civil_partner,FL,2022-08-11,2,0,,,241758.56,9572.37,0.4751,0.0,False,0.0,0.0,0.0,0.0,0.0,478461.75,970446.28,240593.49,54396.34,40363.83,1470884.31,moderate,income|retirement,32%,affluent_ria_like
HH000548,financially_stressed_with_debt,US,US_RIA,single,PA,2010-11-18,1,0,,,230461.57,18244.87,0.95,0.0,True,182496.0,7546.5,5927.02,1619.47,0.3086,170464.87,306730.75,97085.51,30111.7,41898.93,299890.05,moderate,education|estate_planning,37%,affluent_ria_like
HH000549,secondly_wedded_paying_alimony,US,US_RIA,secondly_wedded,PA,2020-10-15,2,1,2013-12-08,2013-12-08,163208.0,5537.84,0.4072,16540.94,False,0.0,0.0,0.0,0.0,0.0,401318.1,505883.62,162430.78,53950.84,76340.63,937767.6,growth,education|estate_planning|tax_optimization,24%,affluent_ria_like
HH000550,affluent_couple_brokerage_and_pensions,US,US_RIA,married_or_civil_partner,Other,2003-12-27,2,1,2004-04-24,2004-04-24,163208.0,7424.64,0.5459,0.0,False,0.0,0.0,0.0,0.0,0.0,247461.66,443278.24,108514.52,62924.47,42142.45,696325.99,moderate,income|tax_optimization,37%,affluent_ria_like
HH000551,one_high_earner_one_low_earner,US,US_RIA,married_or_civil_partner,FL,2012-11-01,2,0,,,165923.11,9269.91,0.6704,0.0,True,118150.56,3479.93,2607.54,872.4,0.1886,306598.48,754509.42,193104.91,54446.26,22580.7,960251.83,aggressive,estate_planning|income|tax_optimization,35%,affluent_ria_like
HH000552,one_high_earner_one_low_earner,US,US_RIA,married_or_civil_partner,PA,2019-07-23,2,0,,,174409.25,8344.43,0.5741,0.0,True,158357.1,1264.13,1264.13,0.0,0.087,882304.29,770836.06,192607.56,122058.47,51459.22,1539093.88,moderate,education|retirement,35%,affluent_ria_like
HH000553,young_dual_income_low_assets,US,US_RIA,married_or_civil_partner,FL,2020-10-14,2,0,,,204189.45,11742.26,0.6901,0.0,True,183561.07,4926.03,4926.03,0.0,0.2895,238619.64,354430.4,91228.86,24784.25,0.0,430134.76,aggressive,income|wealth_growth,32%,affluent_ria_like
HH000554,pre_retirement_wealthy,US,US_RIA,married_or_civil_partner,FL,2003-10-15,2,0,,,285085.31,10029.64,0.4222,0.0,False,0.0,0.0,0.0,0.0,0.0,267376.27,1121569.4,205333.6,72568.95,14403.48,1471787.67,conservative,capital_preservation|education|wealth_growth,37%,affluent_ria_like
HH000555,divorced,US,US_RIA,divorced,Other,2005-11-05,1,0,,,264685.86,8317.38,0.3771,0.0,False,0.0,0.0,0.0,0.0,0.0,736571.84,1243839.2,190171.92,188115.41,23111.79,2020193.54,moderate,tax_optimization|wealth_growth,35%,affluent_ria_like
HH000556,pre_retirement_wealthy,US,US_RIA,married_or_civil_partner,MA,2003-07-28,2,0,,,260452.97,8933.21,0.4116,0.0,True,41818.51,1639.02,1639.02,0.0,0.0755,1097054.31,1229382.75,281779.45,111784.21,186480.61,2370304.4,growth,income|retirement|tax_optimization,24%,affluent_ria_like
HH000557,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,PA,2021-03-15,2,1,2018-05-15,2018-05-15,176210.81,12609.06,0.8587,0.0,True,164538.93,5415.14,5415.14,0.0,0.3688,272843.14,536107.25,138381.65,75227.72,87878.53,680084.09,growth,estate_planning|tax_optimization|wealth_growth,24%,affluent_ria_like
HH000558,financially_stressed_with_debt,US,US_RIA,married_or_civil_partner,PA,2018-06-17,2,0,,,163208.0,12920.63,0.95,0.0,True,192962.13,8667.9,5447.38,3220.52,0.4005,106961.57,278338.51,71938.17,23479.67,42441.24,196009.84,growth,education|estate_planning,37%,affluent_ria_like
HH000559,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,TX,2005-09-18,2,4,2018-10-05,2004-09-06,163208.0,12165.37,0.8945,0.0,True,407494.27,3384.62,3384.62,0.0,0.2489,728263.68,633850.38,159230.73,92621.77,107160.14,1003990.78,moderate,capital_preservation|retirement,35%,affluent_ria_like
HH000560,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,TX,2015-09-28,2,3,2020-11-29,2010-12-13,243785.06,17992.95,0.8857,0.0,True,148197.09,3625.09,3625.09,0.0,0.1784,201229.11,818671.22,209488.13,125023.47,81282.14,874277.25,aggressive,estate_planning|income,35%,affluent_ria_like
HH000561,young_dual_income_low_assets,US,US_RIA,married_or_civil_partner,Other,2015-08-14,2,0,,,163208.0,10852.72,0.798,0.0,True,147814.77,4475.39,4475.39,0.0,0.3291,327847.14,341288.25,56559.51,30322.59,0.0,529727.61,aggressive,capital_preservation|income|retirement,35%,affluent_ria_like
HH000562,young_dual_income_low_assets,US,US_RIA,married_or_civil_partner,TX,2025-08-07,2,0,,,163208.0,6342.98,0.4664,0.0,False,0.0,0.0,0.0,0.0,0.0,106945.09,364789.48,61886.56,43463.38,0.0,493013.11,conservative,capital_preservation|education|retirement,35%,affluent_ria_like
HH000563,affluent_couple_brokerage_and_pensions,US,US_RIA,married_or_civil_partner,Other,2020-08-27,2,0,,,163208.0,8019.03,0.5896,0.0,True,812.07,80.54,0.0,80.54,0.0,175959.11,531033.96,115963.24,75463.1,39164.51,737075.78,conservative,education|tax_optimization|wealth_growth,35%,affluent_ria_like
HH000564,divorced,US,US_RIA,divorced,TX,2015-12-26,1,0,,,237852.83,16339.0,0.8243,0.0,True,250613.36,8190.62,8190.62,0.0,0.4132,630703.23,833255.31,224810.2,55146.09,28531.69,1251743.96,aggressive,capital_preservation|education|income,32%,affluent_ria_like
HH000565,affluent_couple_brokerage_and_pensions,US,US_RIA,married_or_civil_partner,Other,2019-08-29,2,0,,,204221.95,11069.36,0.6504,0.0,True,155129.6,3406.75,3406.75,0.0,0.2002,541790.86,1004324.68,329315.54,95608.3,125146.18,1452612.0,aggressive,capital_preservation|wealth_growth,35%,affluent_ria_like
HH000566,secondly_wedded_paying_alimony,US,US_RIA,secondly_wedded,TX,2021-04-12,2,0,,,211529.89,8468.58,0.4804,26326.91,False,0.0,0.0,0.0,0.0,0.0,251304.09,714902.14,205988.24,93533.98,111187.26,986677.87,growth,education|income|tax_optimization,24%,affluent_ria_like
HH000567,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,Other,2015-09-24,2,1,2019-11-29,2019-11-29,180988.08,13665.13,0.906,0.0,True,184559.57,3869.77,3869.77,0.0,0.2566,255419.36,744899.1,145149.93,82612.57,9280.89,856552.39,moderate,capital_preservation|estate_planning|retirement,35%,affluent_ria_like
HH000568,young_dual_income_low_assets,US,US_RIA,married_or_civil_partner,FL,2022-07-20,2,0,,,184394.62,10851.95,0.7062,0.0,True,921.97,162.33,0.0,162.33,0.0,147837.12,423531.84,61573.77,63206.89,0.0,586533.25,aggressive,income|wealth_growth,35%,affluent_ria_like
HH000569,young_dual_income_low_assets,US,US_RIA,married_or_civil_partner,Other,2023-10-29,2,0,,,251776.42,13132.21,0.6259,0.0,True,118839.54,5445.82,5445.82,0.0,0.2596,162646.79,657630.64,134652.69,49148.9,0.0,714751.96,growth,retirement,35%,affluent_ria_like
HH000570,financially_stressed_with_debt,US,US_RIA,married_or_civil_partner,Other,2023-09-10,2,0,,,173911.61,13768.0,0.95,0.0,True,48275.38,8078.48,7115.18,963.29,0.491,42145.63,247722.49,68831.72,23206.79,34061.2,251539.53,moderate,capital_preservation|income|wealth_growth,24%,affluent_ria_like
HH000571,divorced,US,US_RIA,divorced,TX,2002-11-10,1,2,2017-06-12,2002-10-18,184143.99,6665.0,0.4343,8375.58,False,0.0,0.0,0.0,0.0,0.0,165677.66,661628.99,100557.48,64951.73,115742.51,856267.84,growth,estate_planning|retirement,24%,affluent_ria_like
HH000572,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,Other,2002-03-10,2,3,2012-02-09,2002-10-15,240063.77,19005.05,0.95,0.0,True,397331.6,6461.76,6461.76,0.0,0.323,653958.11,1060337.17,247567.27,63532.9,160632.38,1335034.4,conservative,education|wealth_growth,32%,affluent_ria_like
HH000573,secondly_wedded_paying_alimony,US,US_RIA,secondly_wedded,CA,2019-12-07,2,0,,,163208.0,6544.19,0.4812,40101.16,False,0.0,0.0,0.0,0.0,0.0,814610.8,717228.77,212969.66,78823.61,24961.29,1571822.51,growth,estate_planning|retirement,35%,affluent_ria_like
HH000574,retired_couple_high_assets_low_income,US,US_RIA,married_or_civil_partner,Other,2022-06-22,2,0,,,163208.0,3588.19,0.2638,0.0,True,27811.52,328.29,328.29,0.0,0.0241,674687.27,982806.03,429925.98,53424.07,129399.36,1669337.8,moderate,education|estate_planning|tax_optimization,35%,affluent_ria_like
HH000575,retired_couple_high_assets_low_income,US,US_RIA,married_or_civil_partner,TX,2004-05-11,2,0,,,163208.0,6960.1,0.5117,0.0,True,4035.46,248.07,0.0,248.07,0.0,308784.75,712806.06,208427.73,69018.43,10189.27,1070179.38,moderate,capital_preservation|education|wealth_growth,32%,affluent_ria_like
HH000576,pre_retirement_wealthy,US,US_RIA,married_or_civil_partner,CA,2023-11-22,2,0,,,217978.66,8667.42,0.4772,0.0,True,111253.74,1239.91,937.87,302.04,0.0516,431732.36,981893.26,313951.85,125792.94,57774.07,1318506.94,growth,education,24%,affluent_ria_like
HH000577,young_dual_income_low_assets,US,US_RIA,married_or_civil_partner,Other,2015-02-12,2,0,,,250656.03,16249.41,0.7779,0.0,True,247040.35,4614.5,4614.5,0.0,0.2209,348559.69,585564.82,175669.45,57670.16,0.0,724652.57,growth,capital_preservation|income,35%,affluent_ria_like
HH000578,secondly_wedded_paying_alimony,US,US_RIA,secondly_wedded,FL,2017-02-11,2,0,,,172382.81,9171.17,0.6384,39861.74,True,109071.95,2962.21,2962.21,0.0,0.2062,225741.78,684604.44,178743.38,91085.6,75496.11,835146.1,conservative,income,32%,affluent_ria_like
HH000579,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,PA,2012-04-22,2,4,2019-12-20,2006-07-22,188085.47,14845.58,0.9472,0.0,True,201164.41,5704.38,5704.38,0.0,0.3639,436881.88,596151.25,88716.56,42103.63,71054.05,861626.13,aggressive,education|income|retirement,24%,affluent_ria_like
HH000580,young_dual_income_low_assets,US,US_RIA,married_or_civil_partner,Other,2025-02-02,2,0,,,197636.37,13401.38,0.8137,0.0,True,139736.41,5368.72,5368.72,0.0,0.326,190219.02,440000.82,121561.88,32047.2,0.0,500487.24,moderate,capital_preservation|income|tax_optimization,35%,affluent_ria_like
HH000581,pre_retirement_wealthy,US,US_RIA,married_or_civil_partner,FL,2016-10-10,2,0,,,300631.58,11054.34,0.4412,0.0,True,156439.72,2176.13,2016.94,159.19,0.0805,277107.21,1021610.17,154119.78,61386.9,11312.39,1144648.22,growth,estate_planning|tax_optimization,37%,affluent_ria_like
HH000582,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,Other,2010-02-05,2,4,2023-06-17,2019-03-25,207170.48,15528.85,0.8995,0.0,True,208301.87,5941.23,5806.41,134.82,0.3363,375711.82,932837.14,242003.75,72029.84,67178.16,1133537.63,conservative,tax_optimization,32%,affluent_ria_like
HH000583,pre_retirement_wealthy,US,US_RIA,married_or_civil_partner,CA,2011-01-29,2,0,,,163208.0,6484.76,0.4768,0.0,False,0.0,0.0,0.0,0.0,0.0,380983.89,807488.19,223407.7,89319.98,135392.64,1217275.31,aggressive,tax_optimization,37%,affluent_ria_like
HH000584,pre_retirement_wealthy,US,US_RIA,married_or_civil_partner,CA,2016-03-09,2,0,,,182248.36,7714.2,0.5079,0.0,True,89201.91,794.15,794.15,0.0,0.0523,398979.65,421782.71,59890.01,43794.83,64213.34,738451.81,moderate,education|estate_planning|wealth_growth,35%,affluent_ria_like
HH000585,widowed,US,US_RIA,widowed,Other,2008-10-11,1,2,2021-09-05,2017-05-16,163208.0,5179.12,0.3808,0.0,False,0.0,0.0,0.0,0.0,0.0,376487.25,480982.84,78226.89,38503.67,1008.22,864460.75,growth,estate_planning,32%,affluent_ria_like
HH000586,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,NC,2010-06-07,2,3,2024-05-10,2005-09-18,185872.35,14714.89,0.95,0.0,True,381202.51,6778.58,6778.58,0.0,0.4376,548746.9,830361.47,176358.53,104221.62,23956.32,1020131.56,growth,estate_planning|income|retirement,37%,affluent_ria_like
HH000587,young_dual_income_low_assets,US,US_RIA,married_or_civil_partner,TX,2020-05-04,2,0,,,221019.94,14601.77,0.7928,0.0,True,147428.24,7525.99,7525.99,0.0,0.4086,201180.69,336537.54,84253.03,29266.71,0.0,395571.67,growth,education|estate_planning,35%,affluent_ria_like
HH000588,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,WA,2004-08-13,2,1,2010-07-25,2010-07-25,228049.41,18053.91,0.95,0.0,True,213740.96,8496.19,8496.19,0.0,0.4471,299799.03,798520.47,141647.51,60238.78,106533.76,911835.16,conservative,estate_planning|retirement|tax_optimization,24%,affluent_ria_like
HH000589,financially_stressed_with_debt,US,US_RIA,married_or_civil_partner,Other,2013-01-22,2,0,,,220535.18,17459.04,0.95,0.0,True,111639.9,11284.91,8695.09,2589.82,0.4731,45726.41,308351.99,67000.11,41015.28,25692.33,252715.67,moderate,income,24%,affluent_ria_like
HH000590,affluent_couple_brokerage_and_pensions,US,US_RIA,married_or_civil_partner,Other,2013-10-13,2,0,,,269095.13,14989.56,0.6684,0.0,True,749930.06,4437.89,4437.89,0.0,0.1979,1354359.67,1118285.1,224405.51,155069.02,185627.99,1804288.91,aggressive,capital_preservation|retirement|tax_optimization,32%,affluent_ria_like
HH000591,one_high_earner_one_low_earner,US,US_RIA,married_or_civil_partner,Other,2004-10-30,2,0,,,163208.0,9746.17,0.7166,0.0,True,226062.56,3069.49,3069.49,0.0,0.2257,602030.84,569485.69,122374.1,46027.1,96306.32,975508.91,aggressive,capital_preservation,35%,affluent_ria_like
HH000592,affluent_couple_brokerage_and_pensions,US,US_RIA,married_or_civil_partner,Other,2015-08-15,2,1,2002-06-08,2002-06-08,163208.0,12163.94,0.8944,0.0,True,53652.12,2129.05,2129.05,0.0,0.1565,209666.84,633149.91,125541.4,71148.53,52875.54,823038.7,growth,capital_preservation|wealth_growth,35%,affluent_ria_like
HH000593,pre_retirement_wealthy,US,US_RIA,married_or_civil_partner,TX,2018-11-26,2,0,,,164327.91,6009.91,0.4389,0.0,True,11027.58,1033.3,0.0,1033.3,0.0,122795.47,363075.88,111506.0,35839.16,44708.21,486834.52,moderate,education,35%,affluent_ria_like
HH000594,pre_retirement_wealthy,US,US_RIA,married_or_civil_partner,IL,2008-01-08,2,0,,,383942.48,15630.88,0.4885,0.0,True,116976.73,1971.47,1506.83,464.63,0.0471,1704099.11,1330427.2,330463.3,191665.87,93266.2,2998836.72,growth,capital_preservation|income|tax_optimization,37%,affluent_ria_like
HH000595,self_employed_business_owner,US,US_RIA,single,Other,2004-11-26,1,0,,,214843.14,11861.89,0.6625,0.0,True,383820.57,5771.61,5771.61,0.0,0.3224,631674.29,857683.04,221727.17,97926.65,66521.71,1127423.17,moderate,estate_planning|income,35%,affluent_ria_like
HH000596,pre_retirement_wealthy,US,US_RIA,married_or_civil_partner,NY,2013-10-24,2,0,,,167304.63,7068.58,0.507,0.0,True,127932.25,506.43,506.43,0.0,0.0363,474359.52,567399.91,179683.58,71161.94,27638.77,931583.58,growth,capital_preservation|education,35%,affluent_ria_like
HH000597,divorced,US,US_RIA,divorced,CA,2013-12-02,1,1,2013-05-08,2013-05-08,163208.0,10006.56,0.7357,0.0,True,97075.01,2884.89,2729.14,155.74,0.2007,157225.71,569064.37,143466.78,86459.51,60174.07,641577.9,aggressive,education|estate_planning|income,32%,affluent_ria_like
HH000598,affluent_couple_brokerage_and_pensions,US,US_RIA,married_or_civil_partner,MA,2018-12-25,2,1,2004-08-22,2004-08-22,168480.72,8841.75,0.6298,0.0,False,0.0,0.0,0.0,0.0,0.0,295085.17,669889.92,135007.84,40156.63,109681.47,1006601.77,moderate,tax_optimization,37%,affluent_ria_like
HH000599,secondly_wedded_paying_alimony,US,US_RIA,secondly_wedded,Other,2008-04-26,2,0,,,163208.0,11230.97,0.8258,62257.72,True,337627.45,3706.18,3706.18,0.0,0.2725,569570.6,609226.04,193362.52,70876.91,6082.81,848725.28,growth,estate_planning|retirement,35%,affluent_ria_like
HH000600,affluent_couple_brokerage_and_pensions,US,US_RIA,married_or_civil_partner,IL,2008-11-24,2,0,,,356025.82,14201.28,0.4787,0.0,False,0.0,0.0,0.0,0.0,0.0,481161.64,1677936.99,311856.96,183750.05,68103.95,2175172.17,moderate,capital_preservation|estate_planning|wealth_growth,32%,affluent_ria_like
HH000601,secondly_wedded_paying_alimony,US,US_RIA,secondly_wedded,CA,2017-12-06,2,3,2023-11-12,2010-10-08,314643.74,13133.25,0.5009,53764.71,False,0.0,0.0,0.0,0.0,0.0,1053822.07,1547250.56,412358.0,157867.45,240359.5,2603109.5,moderate,education,37%,affluent_ria_like
HH000602,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,CA,2006-02-23,2,1,2013-12-22,2013-12-22,289563.48,22526.08,0.9335,0.0,True,200938.12,8990.95,8806.75,184.2,0.365,266640.33,1284820.46,211021.53,95311.93,29992.08,1394944.75,moderate,retirement,37%,affluent_ria_like
HH000603,young_dual_income_low_assets,US,US_RIA,married_or_civil_partner,NY,2019-07-04,2,0,,,333130.32,12325.28,0.444,0.0,True,721.92,150.86,0.0,150.86,0.0,122273.72,597879.79,114478.46,48035.62,0.0,758029.57,moderate,estate_planning|retirement,35%,affluent_ria_like
HH000604,affluent_couple_brokerage_and_pensions,US,US_RIA,married_or_civil_partner,Other,2010-09-13,2,2,2024-03-28,2014-10-07,223682.82,5663.83,0.3038,0.0,False,0.0,0.0,0.0,0.0,0.0,581842.55,986532.06,299949.02,109443.86,111124.02,1580053.58,conservative,retirement|tax_optimization|wealth_growth,32%,affluent_ria_like
HH000605,self_employed_business_owner,US,US_RIA,married_or_civil_partner,Other,2009-06-07,2,0,,,163208.0,8377.01,0.6159,0.0,True,321701.78,2904.7,2904.7,0.0,0.2136,546880.51,494458.25,164045.29,63916.93,62491.16,728416.47,conservative,estate_planning|retirement,37%,affluent_ria_like
HH000606,young_dual_income_low_assets,US,US_RIA,married_or_civil_partner,FL,2020-08-01,2,0,,,163208.0,10370.42,0.7625,0.0,True,171181.74,4499.2,4499.2,0.0,0.3308,217062.88,289040.58,80514.42,23926.21,0.0,335994.01,aggressive,capital_preservation|education|wealth_growth,35%,affluent_ria_like
HH000607,pre_retirement_wealthy,US,US_RIA,married_or_civil_partner,NJ,2011-05-19,2,0,,,208083.2,11409.57,0.658,0.0,True,403406.48,3557.31,3557.31,0.0,0.2051,530688.21,754345.29,248856.86,53321.06,104299.69,919845.31,aggressive,education|income|wealth_growth,35%,affluent_ria_like
HH000608,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,CA,2011-08-06,2,1,2026-02-22,2026-02-22,165774.3,11326.23,0.8199,0.0,True,116619.66,3625.41,3625.41,0.0,0.2624,174640.04,334346.21,97551.02,28892.45,19416.89,395678.58,aggressive,tax_optimization|wealth_growth,35%,affluent_ria_like
HH000609,affluent_couple_brokerage_and_pensions,US,US_RIA,married_or_civil_partner,Other,2023-12-15,2,0,,,201216.62,10995.69,0.6558,0.0,True,74260.35,3198.53,2785.08,413.45,0.1661,705908.89,744719.37,132759.32,110832.44,50023.62,1399024.05,growth,education|estate_planning|wealth_growth,32%,affluent_ria_like
HH000610,affluent_couple_brokerage_and_pensions,US,US_RIA,married_or_civil_partner,CA,2023-07-30,2,0,,,278563.43,13179.61,0.5678,0.0,False,0.0,0.0,0.0,0.0,0.0,358815.28,1283744.43,222971.03,91879.92,131878.8,1662685.6,moderate,income|retirement,24%,affluent_ria_like
HH000611,pre_retirement_wealthy,US,US_RIA,married_or_civil_partner,TX,2018-09-25,2,0,,,268554.3,14464.57,0.6463,0.0,True,610752.19,3939.48,3731.35,208.13,0.1667,982301.21,900579.2,225415.46,116281.3,144483.49,1314747.67,conservative,capital_preservation|estate_planning|income,24%,affluent_ria_like
HH000612,self_employed_business_owner,US,US_RIA,married_or_civil_partner,TX,2007-01-09,2,2,2016-05-08,2002-07-23,175643.8,7298.39,0.4986,0.0,True,178160.49,2533.82,2533.82,0.0,0.1731,328610.94,629721.6,159676.09,85858.35,76082.83,827577.17,conservative,estate_planning|wealth_growth,37%,affluent_ria_like
HH000613,widowed,US,US_RIA,widowed,Other,2014-09-09,1,0,,,163208.0,6891.99,0.5067,0.0,True,271197.6,4171.86,3239.12,932.74,0.2382,567398.83,768707.04,208261.07,69203.94,106031.24,1072798.22,moderate,capital_preservation,37%,affluent_ria_like
HH000614,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,Other,2015-06-17,2,2,2016-08-19,2012-04-24,163208.0,12521.99,0.9207,0.0,True,146390.81,5426.65,5426.65,0.0,0.399,186874.7,539686.42,153364.23,35455.44,17692.67,598605.89,moderate,education|income|retirement,35%,affluent_ria_like
HH000615,pre_retirement_wealthy,US,US_RIA,married_or_civil_partner,TX,2014-02-09,2,0,,,163208.0,5477.18,0.4027,0.0,True,99393.84,605.12,605.12,0.0,0.0445,324232.84,550884.52,125919.85,64535.38,73955.52,792499.86,conservative,tax_optimization|wealth_growth,32%,affluent_ria_like
HH000616,financially_stressed_with_debt,US,US_RIA,married_or_civil_partner,NY,2006-01-16,2,1,2015-07-01,2015-07-01,163208.0,12920.63,0.95,0.0,True,135935.42,5411.81,4797.09,614.72,0.3527,162159.55,267102.33,46978.9,28324.43,29511.05,299021.95,growth,education,37%,affluent_ria_like
HH000617,divorced,US,US_RIA,divorced,Other,2014-05-17,1,0,,,194972.36,6794.88,0.4182,0.0,True,5403.73,543.06,0.0,543.06,0.0,718169.64,918742.8,243930.26,106582.51,148318.05,1661488.23,moderate,capital_preservation|education|tax_optimization,24%,affluent_ria_like
HH000618,one_high_earner_one_low_earner,US,US_RIA,married_or_civil_partner,TX,2016-01-03,2,0,,,163208.0,11778.0,0.866,0.0,True,159459.53,5012.87,5012.87,0.0,0.3686,384940.77,600684.86,121902.18,91671.5,106842.99,846219.33,conservative,capital_preservation|estate_planning,35%,affluent_ria_like
HH000619,financially_stressed_with_debt,US,US_RIA,single,NY,2018-04-26,1,0,,,164856.55,13051.14,0.95,0.0,True,113292.55,5651.01,4329.45,1321.56,0.3151,91294.43,231855.7,71927.44,17905.19,12173.42,222567.75,aggressive,income,35%,affluent_ria_like
HH000620,secondly_wedded_paying_alimony,US,US_RIA,secondly_wedded,NC,2015-02-17,2,0,,,206454.49,7835.23,0.4554,49026.33,True,3421.29,297.38,0.0,297.38,0.0,821325.91,734910.61,145243.5,87442.3,76573.04,1587476.64,conservative,education|wealth_growth,37%,affluent_ria_like
HH000621,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,Other,2002-09-12,2,5,2023-11-23,2007-02-06,163208.0,10824.36,0.7959,0.0,True,166590.81,2717.18,2717.18,0.0,0.1998,318928.71,365244.93,59617.98,50061.69,819.46,543151.04,moderate,education,32%,affluent_ria_like
HH000622,one_high_earner_one_low_earner,US,US_RIA,married_or_civil_partner,Other,2011-05-19,2,0,,,180923.43,6586.92,0.4369,0.0,True,4339.98,300.75,0.0,300.75,0.0,586722.24,1095025.58,217432.95,134905.08,189209.49,1755867.87,growth,capital_preservation|income,32%,affluent_ria_like
HH000623,family_with_mortgage_and_children,US,US_RIA,married_or_civil_partner,FL,2004-09-20,2,4,2018-01-23,2003-02-05,236985.16,15183.6,0.7688,0.0,True,263478.05,5673.28,5506.8,166.48,0.2788,390109.5,907637.36,180974.54,54102.46,95640.13,1088160.14,moderate,capital_preservation|income,35%,affluent_ria_like
HH000624,affluent_couple_brokerage_and_pensions,US,US_RIA,married_or_civil_partner,Other,2023-09-19,2,0,,,163208.0,7699.58,0.5661,0.0,False,0.0,0.0,0.0,0.0,0.0,547057.97,560073.63,144031.46,57439.34,22756.35,1137287.63,conservative,capital_preservation|education|wealth_growth,35%,affluent_ria_like
HH000625,secondly_wedded_paying_alimony,US,US_RIA,secondly_wedded,FL,2011-02-20,2,0,,,219579.02,11570.66,0.6323,27344.4,True,139905.58,2616.22,2410.4,205.82,0.1317,353835.12,516059.87,153921.92,36005.1,43217.24,750914.52,conservative,wealth_growth,35%,affluent_ria_like
HH000626,affluent_couple_brokerage_and_pensions,US,US_RIA,married_or_civil_partner,Other,2006-09-24,2,0,,,183085.52,5979.28,0.3919,0.0,False,0.0,0.0,0.0,0.0,0.0,442565.52,572773.99,144664.38,73876.35,65042.19,1042155.88,growth,capital_preservation|estate_planning|wealth_growth,32%,affluent_ria_like
